tweet_id,airline,airline_sentiment,text_clean
570306133677760513,Virgin America,neutral,virginamerica what dhepburn said
570301130888122368,Virgin America,positive,virginamerica plus youve added commercials to the experience tacky
570301083672813571,Virgin America,neutral,virginamerica i didnt today must mean i need to take another trip
570301031407624196,Virgin America,negative,virginamerica its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse
570300817074462722,Virgin America,negative,virginamerica and its a really big bad thing about it
570300767074181121,Virgin America,negative,virginamerica seriously would pay 30 a flight for seats that didnt have this playingits really the only bad thing about flying va
570300616901320704,Virgin America,positive,virginamerica yes nearly every time i fly vx this ear worm wont go away 
570300248553349120,Virgin America,neutral,virginamerica really missed a prime opportunity for men without hats parody there httpstcomwpg7grezp
570299953286942721,Virgin America,positive,virginamerica well i didntbut now i do d
570295459631263746,Virgin America,positive,virginamerica it was amazing and arrived an hour early youre too good to me
570294189143031808,Virgin America,neutral,virginamerica did you know that suicide is the second leading cause of death among teens 1024
570289724453216256,Virgin America,positive,virginamerica i lt3 pretty graphics so much better than minimal iconography d
570289584061480960,Virgin America,positive,virginamerica this is such a great deal already thinking about my 2nd trip to australia amp i havent even gone on my 1st trip yet p
570287408438120448,Virgin America,positive,virginamerica virginmedia im flying your fabulous seductive skies again u take all the stress away from travel httptcoahlxhhkiyn
570285904809598977,Virgin America,positive,virginamerica thanks
570282469121007616,Virgin America,negative,virginamerica sfopdx schedule is still mia
570277724385734656,Virgin America,positive,virginamerica so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america 29daystogo
570276917301137409,Virgin America,negative,virginamerica  i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help
570270684619923457,Virgin America,positive,i  flying virginamerica 
570267956648792064,Virgin America,positive,virginamerica you know what would be amazingly awesome bosfll please i want to fly with only you
570265883513384960,Virgin America,negative,virginamerica why are your first fares in may over three times more than other carriers when all seats are available to select
570264145116819457,Virgin America,positive,virginamerica i love this graphic httptcout5grrwaaa
570259420287868928,Virgin America,positive,virginamerica i love the hipster innovation you are a feel good brand
570258822297579520,Virgin America,neutral,virginamerica will you be making bosgtlas non stop permanently anytime soon
570256553502068736,Virgin America,negative,virginamerica you guys messed up my seating i reserved seating with my friends and you guys gave my seat away   i want free internet
570249102404923392,Virgin America,negative,virginamerica status match program  i applied and its been three weeks  called and emailed with no response
570239632807370753,Virgin America,negative,virginamerica what happened 2 ur vegan food options at least say on ur site so i know i wont be able 2 eat anything for next 6 hrs fail
570217831557677057,Virgin America,neutral,virginamerica do you miss me dont worry well be together very soon
570207886493782019,Virgin America,negative,virginamerica amazing to me that we cant get any cold air from the vents vx358 noair worstflightever roasted sfotobos
